Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,break_points_won_player1,break_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2
2017-02-13,q 1,Govind Nanda,Alon Elia,"6-74, 6-3, 6-3",USA F7,,,,,,,,,,,,,,,,
2017-02-13,,Govind Nanda,Anthony Fortunati,"6-1, 6-0",USA F7,,,,,,,,,,,,,,,,
2017-02-13,qual.,Mico Santiago,Govind Nanda,"7-5, 6-3",USA F7,,,,,,,,,,,,,,,,
2017-02-13,q 2,Govind Nanda,Drew Baird,"4-6, 6-4, 6-1",USA F7,,,,,,,,,,,,,,,,
2017-02-20,q 1,Mico Santiago,Govind Nanda,"6-2, 1-6, 6-4",USA F8,,,,,,,,,,,,,,,,
2017-02-20,,Govind Nanda,Ulises Blanch,"6-3, 7-62",USA F8,,,,,,,,,,,,,,,,
2017-02-27,,Govind Nanda,Camille Kima,"6-0, 6-0",USA F9,,,,,,,,,,,,,,,,
2017-02-27,qual.,Govind Nanda,Alon Elia,"4-6, 7-5, 6-4",USA F9,,,,,,,,,,,,,,,,
2017-02-27,q 2,Govind Nanda,Mason Beiler,"6-4, 6-0",USA F9,,,,,,,,,,,,,,,,
2017-02-27,q 1,Govind Nanda,Nick Chappell,"6-1, 7-68",USA F9,,,,,,,,,,,,,,,,
2017-03-01,1st round,Govind Nanda,Michael Riechmann,"7-65, 6-3",USA F9,46/70,42/78,31/46,28/42,14/24,16/36,3/3,1/4,34/78,25/70,79/148,69/148,2,3,2,3
2017-03-02,2nd round,Peter Nagy,Govind Nanda,"7-66, 6-72, 6-4",USA F9,85/131,72/112,51/85,48/72,24/46,21/40,5/9,4/13,43/112,56/131,118/243,125/243,1,1,1,2
2017-06-19,q 1,Julian Bradley,Govind Nanda,"3-6, 6-4, 6-4",USA F20,,,,,,,,,,,,,,,,
2017-06-28,1st round,Thai Kwiatkowski,Govind Nanda,"7-65, 4-6, 6-1",USA F22,73/119,54/95,45/73,38/54,27/46,19/41,4/16,3/10,38/95,47/119,110/214,104/214,7,1,6,3
2017-07-05,1st round,Govind Nanda,Roy Smith,"7-5, 6-1",USA F23,33/59,45/76,25/33,25/45,15/26,15/31,4/9,1/3,36/76,19/59,76/135,59/135,0,5,6,8
2017-07-06,2nd round,Govind Nanda,Alexander Brown,"6-1, 7-63",USA F23,34/67,51/71,24/34,28/51,20/33,7/20,4/8,2/3,36/71,23/67,80/138,58/138,1,2,4,1
2017-07-07,1/4,Michael Mmoh,Govind Nanda,"6-1, 6-4",USA F23,33/50,22/54,26/33,18/22,13/17,11/32,3/7,0/3,25/54,11/50,64/104,40/104,3,0,3,2
2017-07-17,q 1,Tom Jomby,Govind Nanda,"6-4, 7-5",USA F24,,,,,,,,,,,,,,,,
2017-07-24,qual.,Gustav Hansson,Govind Nanda,"6-4, 7-62",USA F25,,,,,,,,,,,,,,,,
2017-07-24,q 2,Govind Nanda,Michael Redlicki,"6-4, 3-6, 7-5",USA F25,,,,,,,,,,,,,,,,
2017-07-24,q 1,Govind Nanda,Austin Hussey,"6-3, 6-3",USA F25,,,,,,,,,,,,,,,,
2017-09-04,1st round,Emil Ruusuvuori,Govind Nanda,"6-2, 6-3",U.S. Open,,,,,,,,,,,,,,,,
2017-11-06,q 1,Peter Bertran,Govind Nanda,"6-77, 6-1, 6-4",USA F36,,,,,,,,,,,,,,,,
2017-11-13,q 1,Govind Nanda,Sergey Belov,"2-6, 7-66, 6-4",USA F37,,,,,,,,,,,,,,,,
2017-11-13,,Govind Nanda,Caspar Schuetze,"6-2, 6-2",USA F37,,,,,,,,,,,,,,,,
2017-11-13,qual.,Govind Nanda,Nicaise Muamba,"7-65, 6-2",USA F37,,,,,,,,,,,,,,,,
2017-11-13,q 2,Govind Nanda,Ion Efrim,"6-2, 5-7, 6-1",USA F37,,,,,,,,,,,,,,,,
2017-11-15,1st round,Giovanni Oradini,Govind Nanda,"6-4, 6-1",USA F37,31/41,29/58,22/31,14/29,5/10,10/29,6/13,2/2,34/58,14/41,61/99,38/99,0,1,1,1
2015-09-14,q 1,Govind Nanda,Dro Dermegerdichian,"6-0, 6-0",USA F26,,,,,,,,,,,,,,,,
2015-09-14,q 2,Martin Redlicki,Govind Nanda,"6-1, 6-4",USA F26,,,,,,,,,,,,,,,,
2015-09-14,,Govind Nanda,Alexander Nichols,"7-62, 6-2",USA F26,,,,,,,,,,,,,,,,
