Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2,break_points_won_player1,break_points_won_player2
2020-02-26,2nd round,Novak Djokovic,Philipp Kohlschreiber,"6-3, 6-1",Dubai,24/44,28/44,19/24,19/28,14/20,3/16,22/44,11/44,55/88,33/88,2,1,2,2,,
2020-02-27,1/4,Novak Djokovic,Karen Khachanov,"6-2, 6-2",Dubai,27/45,29/49,24/27,14/29,8/18,7/20,28/49,13/45,60/94,34/94,2,4,2,3,5/9,1/2
2020-02-28,1/2,Novak Djokovic,Gael Monfils,"2-6, 7-68, 6-1",Dubai,71/96,62/102,43/71,40/62,13/25,15/40,47/102,40/96,103/198,95/198,1,6,5,8,4/11,3/7
2020-02-29,fin,Novak Djokovic,Stefanos Tsitsipas,"6-3, 6-4",Dubai,36/57,31/48,28/36,24/31,12/21,4/17,20/48,17/57,60/105,45/105,0,3,2,8,3/3,1/2
2020-06-13,1st round,Novak Djokovic,Viktor Troicki,"4-1, 4-1",All Lower,,,,,,,,,,,,,,,,
2020-06-14,1st round,Novak Djokovic,Alexander Zverev,"4-0, 1-4, 4-2",All Lower,,,,,,,,,,,,,,,,
2020-06-20,1st round,Novak Djokovic,Borna Coric,"4-1, 4-31",All Lower,,,,,,,,,,,,,,,,
2020-06-20,1st round,Novak Djokovic,Pedja Krstin,"4-33, 4-1",All Lower,,,,,,,,,,,,,,,,
2020-06-21,1st round,Novak Djokovic,Nino Serdarusic,"4-1, 4-33",All Lower,,,,,,,,,,,,,,,,
2020-08-24,2nd round,Novak Djokovic,Ricardas Berankis,"7-62, 6-4",New York,35/64,40/70,25/35,25/40,15/29,12/30,33/70,24/64,73/134,61/134,7,4,8,0,4/7,3/5
2020-08-25,3rd round,Novak Djokovic,Tennys Sandgren,"6-2, 6-4",New York,31/55,42/73,26/31,32/42,15/24,10/31,31/73,14/55,72/128,56/128,4,3,2,7,3/9,0/4
2020-08-26,1/4,Novak Djokovic,Jan-Lennard Struff,"6-3, 6-1",New York,33/48,18/46,24/33,12/18,9/15,8/28,26/46,15/48,59/94,35/94,3,8,5,5,5/9,1/3
2020-08-28,1/2,Novak Djokovic,Roberto Bautista Agut,"4-6, 6-4, 7-60",New York,58/103,73/110,40/58,44/73,19/45,15/37,51/110,44/103,110/213,103/213,7,4,14,2,6/14,6/12
2020-08-29,fin,Novak Djokovic,Milos Raonic,"1-6, 6-3, 6-4",New York,39/76,46/71,29/39,35/46,18/37,10/25,26/71,29/76,73/147,74/147,5,3,2,10,3/5,3/5
2020-08-31,1st round,Novak Djokovic,Damir Dzumhur,"6-1, 6-4, 6-1",New York,49/82,53/95,36/49,29/53,18/33,15/42,51/95,28/82,105/177,72/177,5,8,5,2,7/19,1/7
2020-09-02,2nd round,Novak Djokovic,Kyle Edmund,"6-75, 6-3, 6-4, 6-2",New York,72/108,82/139,60/72,53/82,21/36,27/57,59/139,27/108,140/247,107/247,3,6,16,7,6/12,2/5
2020-09-04,3rd round,Novak Djokovic,Jan-Lennard Struff,"6-3, 6-3, 6-1",New York,51/81,44/76,41/51,27/44,17/30,14/32,35/76,23/81,93/157,64/157,5,3,4,8,5/11,0/4
2020-09-06,4th round,Pablo Carreno-Busta,Novak Djokovic,"6-5, def.",New York,,,,,,,,,,,,,,,,
2020-09-16,2nd round,Novak Djokovic,Salvatore Caruso,"6-3, 6-2",Rome,32/48,35/62,26/32,23/35,11/16,11/27,28/62,11/48,65/110,45/110,1,2,4,3,,
