pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement
15-0,2-0,0-0,,511924,,,13,,2,Ad,Motka Komac,Far,,,,,,,,,,-131.0,-493.0,Down the Line,Backhand,,,,,,,,,,-88.0,408.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-0,2-0,0-0,,512399,,,13,,3,Deuce,Motka Komac,Far,,,,,,,,,,-48.0,480.0,Down the Line,Forehand,,,,,,,,,,-19.0,-258.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-0,2-0,0-0,,513648,,,13,,4,Deuce,Motka Komac,Far,,,,,,,,,,16.0,-488.0,Down the Line,Backhand,,,,,,,,,,32.0,405.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-0,2-0,0-0,,515910,,,13,,5,Ad,Motka Komac,Far,,,,,,,,,,0.0,472.0,Down the Line,Backhand,,,,,,,,,,-134.0,-213.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-0,2-0,0-0,,517131,,,13,,6,Ad,Motka Komac,Far,,,,,,,,,,-235.0,-522.0,Crosscourt,Backhand,1.0,,,,,,,,,16.0,370.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-0,2-0,0-0,,518425,1.0,519800.0,13,,7,Ad,Motka Komac,Far,,,,,,,,,,58.0,442.0,Crosscourt,Forehand,,,,,,,,,,-96.0,-330.0,1.0,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,Motka Komac,0,,
15-15,2-0,0-0,1.0,519719,,,14,,1,Deuce,Motka Komac,Far,1.0,Body,93.0,-181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,Body
15-15,2-0,0-0,,544369,,,14,,2,Deuce,Motka Komac,Far,,,,,,,,,,197.0,-477.0,Down the Line,Forehand,,,,,,,,,,90.0,232.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-15,2-0,0-0,,545754,,,14,,3,Deuce,Motka Komac,Far,,,,,,,,,,-27.0,402.0,Crosscourt,Forehand,,,,,,,,,,96.0,-163.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
15-15,2-0,0-0,,547867,,,14,,4,Deuce,Motka Komac,Far,,,,,,,,,,205.0,-450.0,Down the Line,Forehand,1.0,,,,,,,,,149.0,64.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
15-15,2-0,0-0,,548616,1.0,,14,,5,Ad,Motka Komac,Far,,,,,,,,,,154.0,61.0,Down the Line,Backhand,,1.0,,,,,,1.0,,66.0,0.0,,,,1.0,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,Elise Wagle,1,,
