pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
40-40,0-1,0-0,,606418,1,,,,11,Ad,Nishesh Basavareddy,Far,,,,,,,,,,72,474,Crosscourt,Backhand,1,,,,,,,,,-181,-72,,1,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
0-0,1-1,0-0,1,609334,,,,,1,Deuce,Govind Nanda,Near,0,Wide,-170,220,1,Wide,-114,221,,,,,,,,,,,,,,,,,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
0-0,1-1,0-0,,663122,1,,,,2,Deuce,Govind Nanda,Near,,,,,,,,,,-152,469,Crosscourt,Forehand,,,,,,,,,,6,0,,,,1,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-0,1-1,0-0,1,663123,,,,,1,Ad,Govind Nanda,Near,0,Wide,163,249,1,T,30,232,,,,,,,,,,,,,,,,,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-0,1-1,0-0,,704087,,,,,2,Ad,Govind Nanda,Near,,,,,,,,,,8,448,Down the Line,Forehand,,,,,,,,,,48,-426,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-0,1-1,0-0,,705308,,,,,3,Deuce,Govind Nanda,Near,,,,,,,,,,48,-482,Down the Line,Forehand,,,,,,,,,,94,248,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-0,1-1,0-0,,706054,,,,,4,Ad,Govind Nanda,Near,,,,,,,,,,70,466,Crosscourt,Backhand,,,,,,,,,,-63,-229,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-0,1-1,0-0,,707522,,,,,5,Ad,Govind Nanda,Near,,,,,,,,,,-125,-472,Crosscourt,Backhand,1,,,,,,,,,80,418,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-0,1-1,0-0,,710974,,,,,6,Ad,Govind Nanda,Near,,,,,,,,,,94,480,Down the Line,Backhand,,,,,,,,,,78,-352,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-0,1-1,0-0,,710975,,,,,7,Deuce,Govind Nanda,Near,,,,,,,,,,128,-482,Crosscourt,Forehand,,,,,,,,,,-111,408,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
