pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
40-40,0-0,0-0,1,538973,,,,,1,Deuce,Player1,Near,1,Wide,-104,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,570751,,,,,2,Deuce,Player1,Near,,,,,,,,,,-165,450,Crosscourt,Backhand,,,,,,,,,,77,-322,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,571782,,,,,3,Deuce,Player1,Near,,,,,,,,,,102,-488,Down the Line,Forehand,,,,,,,,,,35,357,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,573713,1,,,,4,Deuce,Player1,Near,,,,,,,,,,-53,501,Crosscourt,Forehand,,,,,,,,,,13,3,,,,1,,,,,,,,,,,,,,,,
A-40,0-0,0-0,1,577842,,,,,1,Ad,Player1,Near,1,Body,70,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,598176,,,,,2,Ad,Player1,Near,,,,,,,,,,118,504,Crosscourt,Forehand,,,,,,,,,,-21,-288,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,599208,,,,,3,Ad,Player1,Near,,,,,,,,,,-106,-469,Down the Line,Forehand,,,,,,,,,,-117,432,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,600857,,,,,4,Deuce,Player1,Near,,,,,,,,,,-173,512,Crosscourt,Backhand,,,,,,,,,,8,-416,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,601767,1,,,,5,Ad,Player1,Near,,,,,,,,,,-5,-538,Crosscourt,Forehand,,,,,,,,,,133,-5,,,,1,,,,,,,,,,,,,,,,
40-40,0-0,0-0,1,605209,,,,,1,Deuce,Player1,Near,1,Body,-90,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
