pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isLet,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,1-0,0-0,,375924,,,8,,5,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,99.0,-544.0,Down the Line,Forehand,,,,,,,,,,38.0,164.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Short
0-0,1-0,0-0,,379523,1.0,379533.0,8,,6,Ad,Aadarsh Tripathi,Near,,,,,,,,,,35.0,141.0,Down the Line,Backhand,,1.0,,,,,1.0,1,,145.0,-382.0,1.0,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,Theo Dean,,,,Deep
0-15,1-0,0-0,1.0,410563,,,9,,1,Ad,Aadarsh Tripathi,Near,1.0,T,38.0,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,1st Serve In,T,
0-15,1-0,0-0,,413677,1.0,414558.0,9,,2,Ad,Aadarsh Tripathi,Near,,,,,,,,,,33.0,482.0,Crosscourt,Forehand,,,,,,,,,,-167.0,-265.0,,1.0,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,1.0,,,Aadarsh Tripathi,1,,,
15-15,1-0,0-0,1.0,433889,1.0,454132.0,10,,1,Deuce,Aadarsh Tripathi,Near,0.0,Body,-82.0,278.0,0.0,Wide,-172.0,238.0,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,1,Theo Dean,,Double Fault,Wide,
15-30,1-0,0-0,1.0,469688,,,11,,1,Ad,Aadarsh Tripathi,Near,0.0,T,3.0,268.0,1.0,Body,102.0,236.0,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,2nd Serve In,Body,
15-30,1-0,0-0,,482759,1.0,,11,,2,Ad,Aadarsh Tripathi,Near,,,,,,,,,,142.0,426.0,Down the Line,Backhand,,,,,,,,,,110.0,-420.0,1.0,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,Theo Dean,,,,Deep
15-40,1-0,0-0,1.0,506525,,,12,1.0,1,Deuce,Aadarsh Tripathi,Near,0.0,Wide,-170.0,233.0,1.0,Body,-58.0,121.0,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,2nd Serve In,Body,
15-40,1-0,0-0,,530040,,,12,,2,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,-74.0,480.0,Crosscourt,Forehand,,,,,,,,,,19.0,-265.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Short
15-40,1-0,0-0,,531341,,,12,,4,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,-74.0,496.0,Crosscourt,Forehand,,,,,,,,,,19.0,-380.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Deep
15-40,1-0,0-0,,531740,,,12,,3,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,49.0,-472.0,Crosscourt,Forehand,,,,,,,,,,-18.0,388.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Deep
15-40,1-0,0-0,,532824,,,12,,5,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,38.0,-517.0,Down the Line,Forehand,,,,,,,,,,43.0,326.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Short
